step,vocab_size,compression_rate,best_pair_count
0,257,0.9709582613834266,63482198
1,258,0.9419807243799411,63341860
2,259,0.9202662184496379,47465635
3,260,0.9054612280221758,32362158
4,261,0.8910572243331298,31485643
5,262,0.8778258555267182,28922386
6,263,0.86459785467678,28915024
7,264,0.8532357108626349,24836456
8,265,0.843103712006677,22147488
9,266,0.8335459474420291,20892272
10,267,0.8246360661695995,19476067
11,268,0.8164901016552975,17806225
12,269,0.8087054568365034,17016418
13,270,0.8011479180530332,16519988
14,271,0.7936058017836393,16486276
15,272,0.7862325577430819,16117139
16,273,0.7793319525483406,15084000
17,274,0.7725548939883707,14813940
18,275,0.7658738670207805,14604025
19,276,0.7597675107789578,13347855
20,277,0.7538184662851132,13003988
21,278,0.747926635878253,12878924
22,279,0.7422958317051236,12308348
23,280,0.7369263703408241,11737080
24,281,0.7319098636782653,10965558
25,282,0.7269438745328926,10855132
26,283,0.7220456452681234,10707016
27,284,0.7173553024533267,10252598
28,285,0.7126715038679989,10238293
29,286,0.708127708332854,9932261
30,287,0.7037633454594756,9540040
31,288,0.6995569050678285,9194838
32,289,0.6953542411609258,9186583
33,290,0.6912205576871762,9035799
34,291,0.6870884438220466,9032368
35,292,0.6830050312845894,8925912
36,293,0.6790014103114154,8751496
37,294,0.6750072957407836,8730716
38,295,0.671279923139848,8147646
39,296,0.6677309845251856,7757608
40,297,0.6642274346366169,7658393
41,298,0.6607511051743074,7598892
42,299,0.657286597413061,7573051
43,300,0.6539655567289487,7259447
44,301,0.6507772159087736,6969379
45,302,0.6476302133003462,6879018
46,303,0.6445875057178461,6651040
47,304,0.641681832607757,6351497
48,305,0.6390061567969026,5848747
49,306,0.6364144699152652,5665156
50,307,0.6338678716538471,5566597
51,308,0.6313471373950336,5510061
52,309,0.6288445128788109,5470475
53,310,0.626360159595078,5430536
54,311,0.6239492178809285,5270066
55,312,0.6215582020988835,5226510
56,313,0.6193000623099854,4936057
57,314,0.6170434495842098,4932719
58,315,0.6148058542383033,4891149
59,316,0.6125812055330101,4862849
60,317,0.6103968680003063,4774733
61,318,0.608259761916961,4671490
62,319,0.6061391456449551,4635445
63,320,0.6040224270894872,4626925
64,321,0.601988509849136,4445930
65,322,0.5999724923687594,4406803
66,323,0.5979639999516848,4390354
67,324,0.5959646420071588,4370387
68,325,0.593969545474552,4361072
69,326,0.5919973036511947,4311114
70,327,0.5900446858241536,4268218
71,328,0.588092523188187,4267223
72,329,0.5861429809888788,4261495
73,330,0.5842047645839759,4236738
74,331,0.5822733376170001,4221897
75,332,0.5803469296462846,4210926
76,333,0.5784440946260118,4159398
77,334,0.5765702239399138,4096085
78,335,0.5747015689658169,4084684
79,336,0.5729005466933099,3936846
80,337,0.5711061962867642,3922262
81,338,0.5693262774959352,3890716
82,339,0.567567165740738,3845234
83,340,0.565813910624874,3832432
84,341,0.5640776933795527,3795189
85,342,0.5623417268324314,3794641
86,343,0.5606563308699983,3684099
87,344,0.5589792811447153,3665855
88,345,0.5573140288741368,3640067
89,346,0.5556988261202727,3530664
90,347,0.5540922321961987,3511846
91,348,0.5524917341726963,3498521
92,349,0.550899021975222,3481502
93,350,0.5493123169274966,3468371
94,351,0.5477316048476876,3455271
95,352,0.5461767489933494,3398752
96,353,0.5446999133466705,3228208
97,354,0.5432539648161628,3160692
98,355,0.5418137361389268,3148189
99,356,0.5403736469926232,3147884
100,357,0.538990685469874,3023009
101,358,0.5376099697089188,3018100
102,359,0.5362314480146908,3013304
103,360,0.534873994576299,2967251
104,361,0.5335222330849925,2954809
105,362,0.5321733706347307,2948472
106,363,0.5308507217006223,2891172
107,364,0.5295324663897101,2881568
108,365,0.5282247285087519,2858578
109,366,0.5269250834218733,2840888
110,367,0.5256296475943685,2831687
111,368,0.5243389402642976,2821351
112,369,0.5230510729605493,2815143
113,370,0.5217755873115077,2788078
114,371,0.5205219247577727,2740375
115,372,0.5192725597567557,2730981
116,373,0.5180412953487602,2691415
117,374,0.5168180212596676,2673949
118,375,0.5156031972553371,2655478
119,376,0.51444621133862,2529050
120,377,0.5132971096058015,2511816
121,378,0.5121489205425245,2509821
122,379,0.5110076261372221,2494750
123,380,0.5098694412130593,2487953
124,381,0.5087411963810253,2466225
125,382,0.507615581135219,2460477
126,383,0.5064950516775293,2449360
127,384,0.505381268654791,2434613
128,385,0.5042752659683393,2417606
129,386,0.5031794206762882,2395403
130,387,0.502083764322844,2394990
131,388,0.5010029220371148,2362608
132,389,0.4999233840224949,2359757
133,390,0.4988549805762809,2335418
134,391,0.49778696186945753,2334577
135,392,0.49675191134835145,2262512
136,393,0.49574898313527727,2192296
137,394,0.49474688936292677,2190472
138,395,0.4937502446165955,2178561
139,396,0.492757383674664,2170290
140,397,0.49176722734542877,2164378
141,398,0.4907797879808085,2158439
142,399,0.48979877344377737,2144395
143,400,0.48881970410518755,2140143
144,401,0.4878607990449833,2096066
145,402,0.48691629494943867,2064587
146,403,0.4859869608398565,2031427
147,404,0.48505974485557607,2026797
148,405,0.48414569601653,1998015
149,406,0.48323274924311066,1995606
150,407,0.48233524053803545,1961860
151,408,0.48144239308105946,1951671
152,409,0.48054982056864204,1951070
153,410,0.47966437831560976,1935484
154,411,0.4787818515728471,1929111
155,412,0.4779048461377014,1917042
156,413,0.4770288869558096,1914755
157,414,0.47615512733038656,1909947
158,415,0.47528260792908733,1907236
159,416,0.47441500962365657,1896479
160,417,0.4735644894468737,1859148
161,418,0.4727257758743646,1833340
162,419,0.47188916395793246,1828746
163,420,0.471054077274709,1825412
164,421,0.4702258404165704,1810439
165,422,0.46941420316460336,1774154
166,423,0.4686026130329184,1774051
167,424,0.46779230841572544,1771241
168,425,0.46698334421044047,1768311
169,426,0.4661832724715952,1748873
170,427,0.4653871766781057,1740182
171,428,0.46459555410906556,1730404
172,429,0.4638047261801225,1728667
173,430,0.4630195000750066,1716422
174,431,0.46223677042988454,1710965
175,432,0.4614613512906636,1694985
176,433,0.4606874464051681,1691675
177,434,0.4599162841030817,1685680
178,435,0.4591521001775294,1670426
179,436,0.4583904113395356,1664972
180,437,0.45763928979664875,1641873
181,438,0.4568907690188462,1636188
182,439,0.456145865065803,1628282
183,440,0.45540296852827256,1623894
184,441,0.4546857982923283,1567659
185,442,0.45398166802260465,1539155
186,443,0.45327940380754744,1535076
187,444,0.45258280363338893,1522695
188,445,0.45188621489619213,1522670
189,446,0.4511905511804554,1520648
190,447,0.45050097101337155,1507350
191,448,0.4498129444431612,1503954
192,449,0.4491307973862076,1491102
193,450,0.4484508201496224,1486359
194,451,0.44777540580326614,1476385
195,452,0.44710167772253884,1472699
196,453,0.44643473038764797,1457877
197,454,0.4457718385993662,1449012
198,455,0.4451153698087597,1434972
199,456,0.444470265698228,1410130
200,457,0.4438266136243502,1406956
201,458,0.4431886132394525,1394602
202,459,0.44255882047572953,1376661
203,460,0.44193118380802104,1371948
204,461,0.44130581120124523,1366999
205,462,0.4406896005157261,1346972
206,463,0.4400844969499048,1322693
207,464,0.4394881042315718,1303652
208,465,0.43889621767613785,1293802
209,466,0.43830637193214467,1289341
210,467,0.4377209948378162,1279573
211,468,0.43714251468885473,1264497
212,469,0.4365723835219142,1246247
213,470,0.4360077992813849,1234122
214,471,0.43544421097147795,1231945
215,472,0.434886013587825,1220161
216,473,0.4343318438445947,1211357
217,474,0.43377789140363615,1210882
218,475,0.4332244906817087,1209676
219,476,0.4326719230280695,1207855
220,477,0.4321202323606513,1205938
